rank,name,team,age,target,rec,touch,yds/touch,scrimmage_yds,td
282,Tyler Eifert,CIN,28,19,15,15,11.9,179,1
281,Chad Williams,ARI,24,46,17,18,10,180,1
280,Charles Clay,BUF,29,36,21,21,8.8,184,0
279,Josh Hill,NO,28,24,16,16,11.6,185,1
278,Rod Smith,DAL,26,12,9,53,3.5,187,1
277,Russell Shepard,NYG,28,19,10,10,18.8,188,2
276,Alex Erickson,CIN,26,29,20,23,8.2,189,0
275,Torrey Smith,CAR,29,31,17,17,11.2,190,2
274,Cody Latimer,NYG,26,16,11,11,17.3,190,1
273,T.J. Jones,DET,26,26,19,19,10,190,2
272,Tavon Austin,DAL,28,13,8,14,13.9,195,2
271,Bennie Fowler,NYG,27,27,16,16,12.4,199,1
270,Taysom Hill,NO,28,7,3,40,5,200,2
269,Mike Gesicki,MIA,23,32,22,22,9.2,202,0
268,Jay Ajayi,PHI,25,6,5,50,4.1,204,3
267,Keith Kirkwood,NO,25,21,13,13,16.1,209,2
266,Trent Sherfield,ARI,22,28,19,19,11.1,210,1
265,Virgil Green,LAC,30,27,19,19,11.1,210,1
264,Chris Moore,BAL,25,25,19,24,8.9,213,1
263,Nick Boyle,BAL,25,37,23,23,9.3,213,0
262,James O'Shaughnessy,JAX,26,38,24,24,8.9,214,0
261,Jordan Thomas,HOU,22,27,20,20,10.8,215,4
260,Trent Taylor,SF,24,41,26,26,8.3,215,1
259,James Washington,PIT,22,38,16,16,13.6,217,1
257,John Ross,CIN,24,58,21,25,8.8,219,7
255,Anthony Firkser,TEN,23,20,19,19,11.8,225,1
254,Jordan Akins,HOU,26,25,17,17,13.2,225,0
252,Travis Benjamin,LAC,29,24,12,19,11.9,227,1
251,Aldrick Robinson,MIN,30,35,17,17,13.6,231,5
250,Ted Ginn,NO,33,30,17,20,11.8,235,2
249,Geoff Swaim,DAL,25,32,26,26,9.3,242,1
248,DaeSean Hamilton,DEN,23,45,30,30,8.1,243,2
246,Jack Doyle,IND,28,33,26,26,9.4,245,2
245,Kalen Ballage,MIA,23,11,9,45,5.5,247,1
244,Matt LaCosse,DEN,26,37,24,24,10.4,250,1
242,Trenton Cannon,NYJ,24,25,17,55,4.7,257,1
241,Jonnu Smith,TEN,23,30,20,20,12.9,258,3
240,Jason Croom,BUF,24,35,22,22,11.8,259,1
239,Levine Toilolo,DET,27,24,21,21,12.5,263,1
238,Malcolm Brown,LAR,25,7,5,48,5.5,264,1
237,Wayne Gallman,NYG,24,22,14,65,4.1,265,1
236,Nick Vannett,SEA,25,43,29,29,9.3,269,3
235,Aaron Rodgers,GB,35,0,0,43,6.3,269,2
234,Paul Richardson,WAS,26,35,20,22,12.3,271,2
233,Patrick Mahomes,KC,23,0,0,60,4.5,272,2
232,Rhett Ellison,NYG,30,34,25,25,10.9,272,1
231,Jakeem Grant,MIA,26,34,21,22,12.4,273,2
230,Ryan Switzer,PIT,24,44,36,42,6.5,274,1
229,Marcus Murphy,BUF,27,19,11,63,4.4,276,0
228,Zach Pascal,IND,24,46,27,29,9.6,278,2
227,Darren Sproles,PHI,35,23,15,44,6.4,280,3
226,Jameis Winston,TB,24,0,0,49,5.7,281,1
225,Jeff Heuerman,DEN,26,48,31,31,9.1,281,2
224,Raheem Mostert,SF,26,7,6,40,7.2,286,1
223,Pierre Garcon,SF,32,46,24,24,11.9,286,1
222,Keke Coutee,HOU,21,41,28,31,9.3,287,1
221,Demarcus Robinson,KC,24,33,22,22,13.1,288,4
220,Martavis Bryant,OAK,27,27,19,22,13.1,289,0
219,Cameron Brate,TB,27,49,30,30,9.6,289,6
218,Greg Olsen,CAR,33,38,27,27,10.8,291,4
217,Tyler Higbee,LAR,25,34,24,24,12.2,292,2
216,Allen Hurns,DAL,27,35,20,20,14.8,295,2
215,Jordan Matthews,PHI,26,28,20,20,15,300,2
214,Laquon Treadwell,MIN,23,53,35,35,8.6,302,1
