Name,Pos,Tm/Bye,Average,Stdev,Rank,Tier,ECR,ECRAvg,ADP,ECR vs. ADP,PS,Baseline
Chris Godwin,WR,TB/13,5.57,0.85,6.0,2.0,2|08,20.0,19.0,-0.08333333333333333,0.76,
Kenny Golladay,WR,DET/5,5.25,0.98,7.0,3.0,2|11,23.9,25.0,0.16666666666666666,0.72,
Michael Evans,WR,TB/13,5.01,0.92,8.0,3.0,3|04,28.7,26.0,0.0,0.69,
Allen Robinson,WR,CHI/11,4.69,0.84,9.0,3.0,3|04,28.4,27.0,0.16666666666666666,0.67,
DJ Moore,WR,CAR/13,4.67,0.81,10.0,3.0,3|09,33.2,34.0,0.4166666666666667,0.64,
Amari Cooper,WR,DAL/10,4.52,0.73,11.0,3.0,3|11,35.6,31.0,-0.25,0.61,
AJ Brown,WR,TEN/7,4.45,0.71,12.0,3.0,4|04,40.6,35.0,-0.16666666666666666,0.58,
Adam Thielen,WR,MIN/7,4.44,0.61,13.0,3.0,3|09,33.8,32.0,0.16666666666666666,0.56,
Calvin Ridley,WR,ATL/10,4.43,0.8,14.0,3.0,4|05,41.3,43.0,0.4166666666666667,0.53,
Cooper Kupp,WR,LAR/9,4.34,0.76,15.0,3.0,4|06,42.2,39.0,0.0,0.5,
Odell Beckham,WR,CLE/9,4.26,0.83,16.0,3.0,3|11,35.7,28.0,-0.5833333333333334,0.48,
Robert Woods,WR,LAR/9,4.15,0.69,17.0,3.0,4|04,40.0,57.0,1.75,0.45,
JuJu Smith-Schuster,WR,PIT/8,4.13,1.02,18.0,3.0,3|11,35.0,29.0,-0.16666666666666666,0.43,
Courtland Sutton,WR,DEN/8,3.85,0.63,19.0,4.0,5|07,55.9,45.0,-0.6666666666666666,0.4,
Terry McLaurin,WR,WAS/8,3.79,0.51,20.0,4.0,5|01,49.1,54.0,0.6666666666666666,0.38,
DeVante Parker,WR,MIA/11,3.72,0.89,21.0,4.0,6|04,64.9,55.0,-0.5833333333333334,0.36,
